ID,Name,Sex,Age,Height,Weight,Sport,Event,Medal
114007,"Karen Patricia ""Pat"" Spurgin (-Pitney)",F,18,183,79,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold
114032,Iveta rankov (-Hritzov),F,16,164,57,Hockey,Hockey Women's Hockey,Silver
114040,Zdenk reiner,M,26,181,76,Football,Football Men's Football,Gold
114059,Sukanya Srisurat,F,21,155,58,Weightlifting,Weightlifting Women's Lightweight,Gold
114075,"Daniela Lucia ""Dani"" Sruoga",F,24,171,64,Hockey,Hockey Women's Hockey,Silver
114076,"Mara Josefina ""Jose"" Sruoga",F,21,171,60,Hockey,Hockey Women's Hockey,Silver
114078,rif rifov,M,23,180,97,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
114079,Sabah riti,M,27,192,130,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
114084,Marianne St-Gelais,F,19,163,62,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver
114085,Kim St-Pierre,F,23,175,71,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
114097,France St. Louis,F,39,174,65,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
114108,Eric Craig Staal,M,25,193,93,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
114113,Lothar Stber,M,24,178,76,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
114124,Amber Val Stachowski,F,21,182,72,Water Polo,Water Polo Women's Water Polo,Bronze
114133,Kelli Allison Stack,F,22,165,62,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
114159,Andriy Volodymyrovych Stadnik,M,26,171,66,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
114160,Mariya Stadnik,F,20,157,48,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze
114182,Linda Stahl,F,26,176,79,Athletics,Athletics Women's Javelin Throw,Bronze
114188,Andreas Sthle,M,23,183,80,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
114191,Gregor Sthli,M,33,181,75,Skeleton,Skeleton Men's Skeleton,Bronze
